INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY 50,24280.8,24303.8,24261.6,24079.95,36657.53,444283436,10-MAR-2026
NIFTY 50,24231.85,24299.0,23866.85,23834.3,32549.4,407400643,11-MAR-2026
NIFTY 50,23674.85,23833.15,23639.15,23556.3,40147.62,501004098,12-MAR-2026
NIFTY 50,23462.5,23492.4,23151.1,23112.0,40786.7,519776752,13-MAR-2026
NIFTY 50,23116.1,23502.0,23408.8,22955.25,44710.21,540293230,16-MAR-2026
NIFTY 50,23493.2,23656.8,23581.15,23346.6,34495.73,458788167,17-MAR-2026
NIFTY 50,23632.9,23862.25,23777.8,23618.45,28805.6,382876401,18-MAR-2026
NIFTY 50,23197.75,23378.7,23002.15,22930.35,42000.27,550147401,19-MAR-2026
NIFTY 50,23110.15,23345.15,23114.5,23067.6,50308.33,663289390,20-MAR-2026
NIFTY 50,22824.35,22851.7,22512.65,22471.25,41002.59,550275334,23-MAR-2026
NIFTY 50,22878.45,23057.3,22912.4,22624.2,43385.04,538098322,24-MAR-2026
NIFTY 50,23064.4,23465.35,23306.45,23063.2,40733.98,505418973,25-MAR-2026
NIFTY 50,23173.55,23186.1,22819.6,22804.55,47239.2,612556883,27-MAR-2026
NIFTY 50,22549.65,22714.1,22331.4,22283.85,53093.7,698599891,30-MAR-2026
NIFTY 50,22899.0,22941.3,22679.4,22618.6,41192.2,517954448,01-APR-2026
NIFTY 50,22383.4,22782.3,22713.1,22182.55,38669.56,495121035,02-APR-2026
NIFTY 50,22780.3,22998.35,22968.25,22542.95,35893.16,426416812,06-APR-2026
NIFTY 50,22838.7,23153.85,23123.65,22719.3,38940.47,476981883,07-APR-2026
NIFTY 50,23855.15,24025.15,23997.35,23828.5,56557.11,639257993,08-APR-2026
NIFTY 50,23909.05,23990.75,23775.1,23682.8,40443.59,466587329,09-APR-2026
NIFTY 50,23880.55,24074.05,24050.6,23856.35,40109.22,481302436,10-APR-2026
NIFTY 50,23589.6,23907.4,23842.65,23555.6,41931.51,488844789,13-APR-2026
NIFTY 50,24163.8,24280.9,24231.3,24145.8,38376.84,460334041,15-APR-2026
NIFTY 50,24385.2,24400.95,24196.75,24102.8,44634.35,508017772,16-APR-2026
NIFTY 50,24165.9,24371.9,24353.55,24096.05,35373.29,498625189,17-APR-2026
NIFTY 50,24391.5,24480.65,24364.85,24241.25,35042.31,415942883,20-APR-2026
NIFTY 50,24374.55,24601.7,24576.6,24354.9,37315.7,425826834,21-APR-2026
NIFTY 50,24470.85,24515.95,24378.1,24352.9,38980.03,440524292,22-APR-2026
NIFTY 50,24202.35,24310.2,24173.05,24134.8,39616.97,467549860,23-APR-2026
NIFTY 50,24100.55,24206.0,23897.95,23813.65,36898.39,438433486,24-APR-2026
NIFTY 50,23945.45,24130.7,24092.7,23936.2,36685.28,430297937,27-APR-2026
NIFTY 50,24049.9,24181.8,23995.7,23957.05,43390.29,554134344,28-APR-2026
NIFTY 50,24096.9,24334.7,24177.65,24059.95,38035.47,531122966,29-APR-2026
NIFTY 50,23996.95,24087.45,23997.55,23796.85,44420.83,505520648,30-APR-2026
NIFTY 50,24063.55,24290.2,24119.3,24004.75,35790.21,419069793,04-MAY-2026
NIFTY 50,24052.6,24081.7,24032.8,23882.05,33650.36,363297728,05-MAY-2026
NIFTY 50,24171.0,24356.5,24330.95,23997.9,38826.87,429190144,06-MAY-2026
NIFTY 50,24398.5,24482.1,24326.65,24284.0,39529.1,440621691,07-MAY-2026
NIFTY 50,24233.65,24253.8,24176.15,24126.65,31217.1,335887188,08-MAY-2026
NIFTY 50,23970.1,23997.45,23815.85,23799.1,37404.28,390108343,11-MAY-2026
NIFTY 50,23722.6,23757.55,23379.55,23348.4,36200.59,447518189,12-MAY-2026
NIFTY 50,23362.45,23582.95,23412.6,23262.55,33693.48,415359044,13-MAY-2026
NIFTY 50,23530.25,23777.2,23689.6,23426.55,38828.33,428735424,14-MAY-2026
NIFTY 50,23731.4,23839.3,23643.5,23610.3,35052.32,408864566,15-MAY-2026
NIFTY 50,23482.2,23695.65,23649.95,23317.1,30029.02,391968426,18-MAY-2026
NIFTY 50,23675.3,23782.3,23618.0,23587.2,39325.73,441953184,19-MAY-2026
NIFTY 50,23457.25,23690.9,23659.0,23397.3,26163.78,344050591,20-MAY-2026
NIFTY 50,23830.05,23859.9,23654.7,23596.6,29930.79,348183907,21-MAY-2026
NIFTY 50,23671.2,23835.65,23719.3,23671.0,24993.16,336108649,22-MAY-2026
NIFTY 50,23940.25,24054.45,24031.7,23922.85,27301.94,351224048,25-MAY-2026
NIFTY 50,24004.1,24089.8,23913.7,23885.45,29835.11,387932940,26-MAY-2026
