symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend
LEXUS,EQ,15.27,15.27,14.51,14.51,15.02,-3.4,27891,4.1529698999999995,N,22-Oct-2024,Extra Ordinary General Meeting,-3.4,SecLwr20
COUNCODOS,EQ,6.17,6.3,5.81,5.97,6.17,-3.24,63108,3.7801692,N,23-Aug-2024,Annual General Meeting,-3.24,SecLwr20
MADHAVIPL,EQ,8.0,8.0,7.76,7.8,8.03,-2.86,175784,13.7463088,N,-,-,-2.86,SecLwr20
TGBHOTELS,EQ,9.75,9.9,9.3,9.36,9.63,-2.8,22661,2.1414645,N,16-Sep-2021,Annual General Meeting,-2.8,SecLwr20
DRCSYSTEMS,EQ,13.7,13.79,12.36,13.13,13.48,-2.6,71949,9.4037343,N,09-Sep-2024,Annual General Meeting,-2.6,SecLwr20
LASA,EQ,6.81,7.14,6.8,6.8,6.98,-2.58,64878,4.4960454,N,20-Sep-2024,Annual General Meeting,-2.58,SecLwr20
EXXARO,EQ,6.29,6.41,6.01,6.15,6.31,-2.54,941299,57.795758600000006,N,13-Dec-2024,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,-2.54,SecLwr20
EMETAL,EQ,13.1,15.21,12.63,12.8,13.1,-2.29,115195,15.850831999999999,N,-,-,-2.29,SecLwr20
UNIINFO,BE,12.29,12.29,11.68,12.02,12.29,-2.2,764,0.09152719999999999,N,20-Sep-2024,Annual General Meeting,-2.2,SecLwr20
APLAPOLLO,EQ,1908.0,1908.0,1805.0,1808.0,1893.1,-4.5,883345,16311.583766500002,N,22-Aug-2025,Dividend - Rs 5.75 Per Share,-4.5,FOSec
DIXON,EQ,14335.0,14589.0,13601.0,13751.0,14338.0,-4.09,634727,90418.5749129,N,16-Sep-2025,Dividend - Rs 8 Per Share,-4.09,FOSec
MANKIND,EQ,2604.0,2613.5,2422.0,2472.0,2575.9,-4.03,2362283,58073.8928154,N,08-Aug-2025,Interim Dividend - Re 1  Per Share,-4.03,FOSec
SWIGGY,EQ,290.0,294.59,280.2,284.78,295.91,-3.76,46812931,134854.0103317,N,-,-,-3.76,FOSec
LODHA,EQ,1285.4,1297.0,1239.55,1243.2,1287.15,-3.41,3593817,45365.111372700005,N,22-Aug-2025,Dividend - Rs 4.25 Per Share,-3.41,FOSec
KALYANKJIL,EQ,634.6,638.4,610.05,613.3,634.6,-3.36,23711127,147755.8879005,N,04-Sep-2025,Dividend - Rs 1.50 Per Share,-3.36,FOSec
LICHSGFIN,EQ,537.5,540.2,521.5,523.0,540.9,-3.31,4188796,22068.2528464,N,21-Aug-2026,Dividend - Rs 10 Per Share,-3.31,FOSec
TCS,EQ,2385.0,2391.0,2326.1,2366.0,2431.8,-2.71,4343683,102695.5253275,N,15-Jul-2026,Interim Dividend - Rs 12 Per Share,-2.71,FOSec
ETERNAL,EQ,312.5,316.0,301.8,302.65,310.65,-2.58,36770653,112481.427527,N,-,-,-2.58,FOSec
VBL,EQ,451.0,451.0,439.85,440.0,451.35,-2.41,7987191,35508.6550287,N,31-Jul-2026,Interim Dividend - Re 0.50 Per Share,-2.51,FOSec
INFY,EQ,1118.9,1139.3,1107.2,1129.9,1155.1,-2.18,14367075,162076.4097825,N,10-Jun-2026,Dividend - Rs 25 Per Share,-2.18,FOSec
MAXHEALTH,EQ,1126.0,1132.0,1091.2,1101.4,1124.8,-2.08,2055225,22748.05239,N,03-Jul-2026,Dividend - Rs 2 Per Share,-2.08,FOSec
PAGEIND,EQ,41000.0,41160.0,39890.0,40255.0,41085.0,-2.02,24934,10079.6792096,N,27-May-2026,Interim Dividend - Rs 150 Per Share,-2.02,FOSec
MARICO,EQ,888.0,889.0,868.0,869.0,885.35,-1.85,2540351,22210.0347579,N,30-Jul-2026,Dividend - Rs 4 Per Share,-1.85,FOSec
LTM,EQ,4385.1,4385.1,4284.0,4365.4,4441.4,-1.71,253082,11020.5316146,N,25-May-2026,Dividend - Rs 53 Per Share,-1.71,FOSec
ASTRAL,EQ,1470.9,1471.9,1444.0,1450.0,1471.9,-1.49,349000,5067.5149,N,11-Nov-2025,Interim Dividend - Rs 1.50 Per Share,-1.49,FOSec
COFORGE,EQ,1710.0,1738.8,1681.7,1722.0,1746.9,-1.43,3381070,58038.433299,N,03-Aug-2026,Interim Dividend - Rs 4 Per Share,-1.43,FOSec
ITC,EQ,285.55,285.8,280.05,281.0,285.05,-1.42,16833813,47407.3841706,N,27-May-2026,Dividend - Rs 8 Per Share,-1.42,FOSec
ALKEM,EQ,5825.0,5833.0,5735.0,5735.0,5816.5,-1.4,116595,6730.0266329999995,N,20-Feb-2026,Interim Dividend - Rs 43 Per Share,-1.4,FOSec
NAUKRI,EQ,1236.0,1236.0,1204.1,1226.9,1244.05,-1.38,1990511,24409.4373419,N,24-Jul-2026,Dividend - Rs 3.60 Per Share,-1.38,FOSec
ASIANTILES,EQ,59.75,59.75,54.64,54.64,60.71,-10.0,10893154,6096.8982938,N,30-Jul-2024,Annual General Meeting,-10.0,allSec
THANGAMAYL,EQ,5450.0,5450.0,5226.5,5226.5,5807.0,-10.0,748277,39466.5234664,N,22-Jul-2026,Dividend - Rs 18 Per Share,-10.0,allSec
SIGNPOST,EQ,310.0,311.45,281.35,283.1,311.2,-9.03,218833,643.7848027,N,19-Sep-2025,Dividend - Re 0.50 Per Share,-9.03,allSec
NUCLEUS,EQ,698.0,704.75,682.0,683.1,738.15,-7.46,179428,1237.8558292,N,10-Jul-2026,Dividend - Rs 12.50 Per Share,-7.46,allSec
SATIN,EQ,262.88,269.99,237.5,238.5,257.42,-7.35,2632579,6616.9873165,N,04-Aug-2020,Rights 48:125 @ Premium Rs 50/-,-7.35,allSec
