INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP,index_name
NIFTY FMCG,49094.95,49657.4,49350.15,49094.95,2160.7,30415633,09-JUL-2026,NIFTY FMCG
NIFTY FMCG,49955.25,50035.65,48977.4,48828.4,2635.67,40828607,08-JUL-2026,NIFTY FMCG
NIFTY FMCG,50202.65,50367.75,50225.85,49958.05,2787.5,39307331,07-JUL-2026,NIFTY FMCG
NIFTY FMCG,50121.6,50302.15,50196.35,49969.8,3500.71,54910417,06-JUL-2026,NIFTY FMCG
NIFTY FMCG,50378.8,50550.15,50096.4,49985.55,2187.57,26560353,03-JUL-2026,NIFTY FMCG
NIFTY FMCG,49930.3,50176.5,50084.7,49677.25,2824.94,38853877,02-JUL-2026,NIFTY FMCG
NIFTY FMCG,48981.9,49880.5,49806.8,48881.6,2880.66,34154793,01-JUL-2026,NIFTY FMCG
NIFTY FMCG,49119.8,49159.4,48794.2,48712.7,3567.02,45379229,30-JUN-2026,NIFTY FMCG
NIFTY FMCG,49537.25,49686.75,49127.65,49083.85,3365.2,39491152,29-JUN-2026,NIFTY FMCG
NIFTY FMCG,49201.6,49630.3,49419.25,49147.75,2692.91,34287298,25-JUN-2026,NIFTY FMCG
NIFTY FMCG,49102.2,49238.5,49085.1,48901.0,2078.84,27923815,24-JUN-2026,NIFTY FMCG
NIFTY FMCG,49269.8,49514.6,49059.05,49000.85,1881.68,28029544,23-JUN-2026,NIFTY FMCG
NIFTY FMCG,49670.9,49757.2,49355.1,49210.95,2256.01,32889841,22-JUN-2026,NIFTY FMCG
NIFTY FMCG,49514.8,49695.9,49558.7,49230.2,2827.64,39144879,19-JUN-2026,NIFTY FMCG
NIFTY FMCG,49708.9,49833.8,49654.5,49438.4,2934.57,35365675,18-JUN-2026,NIFTY FMCG
NIFTY FMCG,49677.95,49867.85,49556.05,49402.75,2165.22,29073467,17-JUN-2026,NIFTY FMCG
NIFTY FMCG,49158.6,49685.55,49642.4,49142.85,2282.6,31501616,16-JUN-2026,NIFTY FMCG
NIFTY FMCG,49422.2,49510.85,49043.4,48963.3,2249.02,30597179,15-JUN-2026,NIFTY FMCG
NIFTY METAL,12700.3,12728.2,12536.9,12528.85,3416.85,92774790,15-JUL-2026,NIFTY METAL
NIFTY METAL,12566.35,12768.25,12677.7,12565.8,4620.33,109312470,14-JUL-2026,NIFTY METAL
NIFTY METAL,12584.7,12615.15,12601.45,12510.55,3451.34,110278528,13-JUL-2026,NIFTY METAL
NIFTY METAL,12626.2,12822.05,12688.9,12610.0,4040.3,95452068,10-JUL-2026,NIFTY METAL
NIFTY METAL,12506.35,12579.4,12503.3,12422.0,3694.5,81216244,09-JUL-2026,NIFTY METAL
NIFTY METAL,12482.25,12655.65,12468.7,12394.55,4022.42,94197032,08-JUL-2026,NIFTY METAL
NIFTY METAL,12689.6,12707.25,12582.75,12553.9,3378.68,83145213,07-JUL-2026,NIFTY METAL
NIFTY METAL,12648.2,12739.8,12722.45,12595.35,4040.74,84342639,06-JUL-2026,NIFTY METAL
NIFTY METAL,12653.8,12744.55,12598.45,12577.85,4182.25,104125548,03-JUL-2026,NIFTY METAL
NIFTY METAL,12450.85,12590.2,12503.9,12446.85,3767.88,100291159,02-JUL-2026,NIFTY METAL
NIFTY METAL,12515.3,12522.9,12394.75,12375.05,4392.17,109334956,01-JUL-2026,NIFTY METAL
NIFTY METAL,12529.25,12573.05,12519.15,12442.1,4610.68,142676665,30-JUN-2026,NIFTY METAL
NIFTY METAL,12447.15,12576.75,12545.0,12442.9,8342.38,282338839,29-JUN-2026,NIFTY METAL
NIFTY METAL,12561.5,12575.25,12445.65,12428.25,6348.51,168836492,25-JUN-2026,NIFTY METAL
NIFTY METAL,12611.95,12712.45,12618.75,12497.2,5231.64,163893232,24-JUN-2026,NIFTY METAL
NIFTY METAL,12987.7,12987.7,12669.1,12617.75,10151.02,446323079,23-JUN-2026,NIFTY METAL
NIFTY METAL,13053.85,13106.4,13091.2,12986.5,6105.3,194032009,22-JUN-2026,NIFTY METAL
NIFTY METAL,12928.5,13050.7,13020.8,12846.25,5467.84,236644274,19-JUN-2026,NIFTY METAL
NIFTY METAL,13008.2,13100.95,13010.4,12948.55,6358.48,535892651,18-JUN-2026,NIFTY METAL
NIFTY METAL,12848.95,13066.7,13011.4,12757.7,7871.48,391881664,17-JUN-2026,NIFTY METAL
NIFTY METAL,12984.5,12984.5,12881.5,12783.7,6152.07,453062673,16-JUN-2026,NIFTY METAL
NIFTY METAL,13004.9,13931.35,13083.85,12974.9,6625.99,361082575,15-JUN-2026,NIFTY METAL
NIFTY REALTY,918.7,931.55,915.15,913.9,1007.1,10621778,15-JUL-2026,NIFTY REALTY
NIFTY REALTY,931.05,935.25,918.65,917.1,1278.85,10474914,14-JUL-2026,NIFTY REALTY
NIFTY REALTY,931.2,938.85,937.15,923.3,1799.44,16939739,13-JUL-2026,NIFTY REALTY
NIFTY REALTY,915.15,939.6,938.6,896.7,2780.63,29340509,10-JUL-2026,NIFTY REALTY
NIFTY REALTY,878.85,910.2,906.95,878.0,2431.22,23713961,09-JUL-2026,NIFTY REALTY
NIFTY REALTY,885.35,905.6,875.95,871.0,2767.43,30021970,08-JUL-2026,NIFTY REALTY
NIFTY REALTY,910.45,911.1,892.6,890.7,2020.76,17212572,07-JUL-2026,NIFTY REALTY
NIFTY REALTY,898.45,909.9,906.95,891.05,2741.27,24890187,06-JUL-2026,NIFTY REALTY
NIFTY REALTY,878.05,892.3,890.8,873.1,2357.44,24212096,03-JUL-2026,NIFTY REALTY
NIFTY REALTY,861.9,872.85,871.7,860.55,1925.71,17705559,02-JUL-2026,NIFTY REALTY
NIFTY REALTY,834.6,860.65,859.25,832.15,1452.81,13799858,01-JUL-2026,NIFTY REALTY
NIFTY REALTY,823.25,835.3,829.55,818.55,1281.99,12060372,30-JUN-2026,NIFTY REALTY
NIFTY REALTY,826.45,830.0,818.85,816.45,1081.14,11392655,29-JUN-2026,NIFTY REALTY
NIFTY REALTY,829.4,839.05,826.25,824.15,1468.2,14524050,25-JUN-2026,NIFTY REALTY
NIFTY REALTY,804.95,824.8,823.55,801.3,1083.38,11186673,24-JUN-2026,NIFTY REALTY
NIFTY REALTY,814.75,832.3,806.05,803.75,1471.04,14682387,23-JUN-2026,NIFTY REALTY
NIFTY REALTY,815.65,817.95,815.15,811.95,701.1,7913420,22-JUN-2026,NIFTY REALTY
NIFTY REALTY,817.0,817.0,811.9,805.7,939.53,10613298,19-JUN-2026,NIFTY REALTY
NIFTY REALTY,815.0,824.6,820.2,811.05,1333.19,16845331,18-JUN-2026,NIFTY REALTY
NIFTY REALTY,814.25,817.75,814.6,809.35,1608.1,19775425,17-JUN-2026,NIFTY REALTY
NIFTY REALTY,805.5,819.5,818.1,801.0,1290.09,13267876,16-JUN-2026,NIFTY REALTY
NIFTY REALTY,786.3,804.6,800.05,785.4,1628.5,18034953,15-JUN-2026,NIFTY REALTY
NIFTY ENERGY,39277.05,39465.25,39381.25,39191.6,9366.16,309070261,15-JUL-2026,NIFTY ENERGY
NIFTY ENERGY,39119.55,39337.05,39203.15,39035.6,9994.01,324912807,14-JUL-2026,NIFTY ENERGY
NIFTY ENERGY,39079.45,39249.25,39220.35,38903.15,7719.48,268847994,13-JUL-2026,NIFTY ENERGY
NIFTY ENERGY,39073.2,39359.2,39242.05,39021.8,7250.36,268829660,10-JUL-2026,NIFTY ENERGY
NIFTY ENERGY,38838.2,39048.0,38838.1,38773.75,8422.48,289077740,09-JUL-2026,NIFTY ENERGY
NIFTY ENERGY,39012.65,39100.8,38695.65,38554.35,12080.85,441894552,08-JUL-2026,NIFTY ENERGY
